00:00:06.459 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@62040053, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@62040053}
00:00:06.461 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:00:06.461 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (user_id = 19)
00:00:06.464 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@269ac849, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@269ac849}
00:00:06.464 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.scheduleserver.mapper.SysSubmitMapper.selectList
00:00:06.465 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.scheduleserver.mapper.SysSubmitMapper.selectList:SELECT user_id,course_id,submit_resource FROM sys_submit WHERE (course_id = 8)
00:00:06.467 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@42f49959, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@42f49959}
00:00:06.467 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysUserMapper.selectList
00:00:06.467 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysUserMapper.selectList:SELECT user_id,role_id,account,name,sex,phone,password,review_status,status,deleted,remark,create_time,update_time FROM sys_user WHERE deleted=0 AND (user_id = 18)
00:00:06.469 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = 9
00:00:06.470 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.scheduleserver.mapper.SysScheduleMapper.selectCourseById
00:00:06.470 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.scheduleserver.mapper.SysScheduleMapper.selectCourseById:select * from sys_course where course_id = 9
00:00:06.473 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@1a09634c, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@1a09634c}
00:00:06.473 [http-nio-8032-exec-8] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysChoiceMapper.selectList
