00:00:01.808 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.808 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '1' AND dict_type = 'college')
00:00:01.812 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@488215c6, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@488215c6}
00:00:01.812 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.812 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '3' AND dict_type = 'major')
00:00:01.815 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@222230b, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@222230b}
00:00:01.816 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.816 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '1' AND dict_type = 'college')
00:00:01.819 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@65313c, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@65313c}
00:00:01.819 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.820 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '3' AND dict_type = 'major')
00:00:01.823 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@65c3fb30, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@65c3fb30}
00:00:01.823 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.824 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '0' AND dict_type = 'college')
00:00:01.826 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@11db1cba, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@11db1cba}
00:00:01.827 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.827 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '0' AND dict_type = 'major')
00:00:01.830 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@2f894e7d, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@2f894e7d}
00:00:01.830 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.831 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '0' AND dict_type = 'college')
00:00:01.834 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@5d6948c3, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@5d6948c3}
00:00:01.834 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.835 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '1' AND dict_type = 'major')
00:00:01.839 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@2157cc3a, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@2157cc3a}
00:00:01.839 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.839 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '0' AND dict_type = 'college')
00:00:01.842 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@75f12d32, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@75f12d32}
00:00:01.843 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.843 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '2' AND dict_type = 'major')
00:00:01.846 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@7663c7c5, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@7663c7c5}
00:00:01.846 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.847 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '0' AND dict_type = 'college')
00:00:01.850 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@16e9f8cb, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@16e9f8cb}
00:00:01.850 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,43] - sqlId = org.example.core.mapper.SysDictDataMapper.selectList
00:00:01.851 [http-nio-8031-exec-1] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.core.mapper.SysDictDataMapper.selectList:SELECT dict_code,dict_sort,dict_label,dict_value,dict_type,status,remark,create_time,update_time FROM sys_dict_data WHERE (dict_value = '1' AND dict_type = 'major')
00:00:06.401 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,40] - parameter = {ew=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@7fbf0521, param1=com.baomidou.mybatisplus.core.conditions.query.LambdaQueryWrapper@7fbf0521}
00:00:06.402 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,43] - sqlId = org.example.labserver.mapper.SysCourseMapper.selectList
00:00:06.402 [http-nio-8031-exec-4] INFO  sys-sql - [logInfo,48] - 完整的sql:org.example.labserver.mapper.SysCourseMapper.selectList:SELECT course_id,number,course_name,college,major,period,credits,type,create_time,update_time FROM sys_course ORDER BY create_time DESC
